"subject_id","treatment_id","paper_id","choice","endowment","cooperation","gender","age"
"2020Bas115_1a_azmo30","2020Bas115_1a","2020Bas115",5,10,0.5,0,27
"2020Bas115_1a_eamo23","2020Bas115_1a","2020Bas115",3,10,0.3,0,18
"2020Bas115_1a_eato23","2020Bas115_1a","2020Bas115",5,10,0.5,1,27
"2020Bas115_1a_eauc13","2020Bas115_1a","2020Bas115",4,10,0.4,1,22
"2020Bas115_1a_eawo06","2020Bas115_1a","2020Bas115",0,10,0,0,19
"2020Bas115_1a_eckr06","2020Bas115_1a","2020Bas115",5,10,0.5,1,27
"2020Bas115_1a_eeho29","2020Bas115_1a","2020Bas115",5,10,0.5,0,24
"2020Bas115_1a_eewa31","2020Bas115_1a","2020Bas115",5,10,0.5,0,30
"2020Bas115_1a_egno19","2020Bas115_1a","2020Bas115",4,10,0.4,1,23
"2020Bas115_1a_eivi27","2020Bas115_1a","2020Bas115",5,10,0.5,1,19
"2020Bas115_1a_ejvo27","2020Bas115_1a","2020Bas115",5,10,0.5,1,30
"2020Bas115_1a_ekfo24","2020Bas115_1a","2020Bas115",4,10,0.4,1,25
"2020Bas115_1a_ekma18","2020Bas115_1a","2020Bas115",5,10,0.5,1,22
"2020Bas115_1a_emgu18","2020Bas115_1a","2020Bas115",0,10,0,1,28
"2020Bas115_1a_enio31","2020Bas115_1a","2020Bas115",5,10,0.5,1,24
"2020Bas115_1a_enst06","2020Bas115_1a","2020Bas115",5,10,0.5,1,24
"2020Bas115_1a_epso27","2020Bas115_1a","2020Bas115",3,10,0.3,0,28
"2020Bas115_1a_eqke26","2020Bas115_1a","2020Bas115",4,10,0.4,1,19
"2020Bas115_1a_ermo30","2020Bas115_1a","2020Bas115",4,10,0.4,0,36
"2020Bas115_1a_esaa28","2020Bas115_1a","2020Bas115",5,10,0.5,0,29
"2020Bas115_1a_hamo15","2020Bas115_1a","2020Bas115",5,10,0.5,1,22
"2020Bas115_1a_hdbu25","2020Bas115_1a","2020Bas115",0,10,0,0,23
"2020Bas115_1a_hdgs17","2020Bas115_1a","2020Bas115",5,10,0.5,0,50
"2020Bas115_1a_herr04","2020Bas115_1a","2020Bas115",5,10,0.5,1,24
"2020Bas115_1a_hewr16","2020Bas115_1a","2020Bas115",5,10,0.5,0,33
"2020Bas115_1a_hgjh12","2020Bas115_1a","2020Bas115",5,10,0.5,0,29
"2020Bas115_1a_hhvo24","2020Bas115_1a","2020Bas115",5,10,0.5,0,26
"2020Bas115_1a_hiro05","2020Bas115_1a","2020Bas115",5,10,0.5,1,20
"2020Bas115_1a_hkmo04","2020Bas115_1a","2020Bas115",5,10,0.5,1,22
