-------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\aguido\Documents\GitHub\Social_norm_meta_analysis\Analysis\../prova/output.log
  log type:  text
 opened on:   6 Sep 2023, 08:51:43

. matlist v

             |        c1         c2         c3 
        r169 |   1.68462   .5409831   .0018457 
        r170 |  1.545824   .5257083   .0032773 
        r171 |    1.7486   .5482871   .0014266 
        r172 |   1.70635    .564673   .0025125 
        r173 |  1.555386   .5635266   .0057785 
        r174 |  1.640674   .5369315   .0022457 
        r175 |  1.772615   .5306206   .0008358 
        r176 |  1.683307   .5261244   .0013769 
        r177 |  1.648523    .513779   .0013337 
        r178 |  1.495415    .568008     .00847 
        r179 |  1.651417    .522851   .0015859 
        r180 |   1.69299    .484124   .0004705 
        r181 |  1.578622   .4972202   .0014989 
        r182 |  1.596098   .5013959    .001456 
        r183 |  1.597229   .5128439   .0018428 
        r184 |  1.681268    .516208   .0011261 
        r185 |  1.786102   .5646417   .0015602 
        r186 |  1.445753   .4827347   .0027451 
        r187 |   1.68887   .5455354   .0019628 
        r188 |   1.74712   .5359614    .001115 
        r189 |  1.642896   .4731067   .0005155 
        r190 |  1.576507   .5171261   .0022992 
        r191 |  1.563472   .5388312   .0037126 
        r192 |  1.659786   .4963665   .0008262 
        r193 |  1.680298   .4984594    .000749 
        r194 |  1.558416   .5168207   .0025665 
        r195 |  1.585335   .5397986   .0033151 
        r196 |  1.677898   .5564451   .0025665 
        r197 |  1.632977   .4785063   .0006433 
        r198 |  1.631424   .4978862   .0010503 
        r199 |  1.600386   .5215294   .0021504 
        r200 |  1.721322   .5178906   .0008883 

. log close
      name:  <unnamed>
       log:  C:\Users\aguido\Documents\GitHub\Social_norm_meta_analysis\Analysis\../prova/output.log
  log type:  text
